"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"20171009","강남구","0.024","0.02","0.4","0.007","28","22"
"20171009","한강대로","0.037","0.019","0.5","0.006","32","16"
"20171009","중구","0.031","0.025","0.5","0.005","25","18"
"20171009","마포구","0.021","0.031","0.4","0.006","22","19"
"20171009","광진구","0.041","0.026","0.8","0.006","25","19"
"20171009","강동구","0.03","0.016","0.5","0.005","29","16"
"20171009","강남대로","0.047","0.012","0.7","0.005","30","17"
"20171009","강서구","0.028","0.021","0.4","0.007","37","19"
"20171009","서대문구","0.025","0.022","0.4","0.006","23","19"
"20171009","도봉구","0.029","0.017","0.5","0.004","26","18"
"20171009","구로구","0.016","0.023","0.4","0.009","23","17"
"20171009","용산구","0.025","0.02","0.3","0.005","21","16"
"20171009","동작대로","0.045","0.012","0.6","0.005","25","18"
"20171009","도산대로","0.034","0.019","1","0.008","31","20"
"20171009","천호대로","0.037","0.012","0.6","0.005","35","20"
"20171009","송파구","0.028","0.017","0.6","0.004","24","17"
"20171009","성북구","0.031","0.019","0.6","0.005","29","20"
"20171009","청계천로","0.036","0.018","0.5","0.007","30","20"
"20171009","영등포로","0.043","0.016","0.4","0.007","36","17"
"20171009","동작구","0.025","0.025","0.4","0.005","27","17"
"20171009","양천구","0.026","0.024","0.4","0.004","26","21"
"20171009","종로구","0.031","0.024","0.5","0.005","22","17"
"20171009","성동구","0.025","0.016","0.6","0.005","29","16"
"20171009","관악구","0.016","0.025","0.4","0.008","26","14"
"20171009","서초구","0.023","0.023","0.5","0.007","23","16"
"20171009","강변북로","0.047","0.009","0.6","0.006","32","18"
"20171009","금천구","0.028","0.025","0.4","0.004","19","18"
"20171009","홍릉로","0.041","0.016","0.5","0.006","33","22"
"20171009","강북구","0.025","0.017","0.4","0.004","23","18"
"20171009","노원구","0.032","0.017","0.5","0.004","31","21"
"20171009","영등포구","0.02","0.036","0.6","0.005","26","14"
"20171009","은평구","0.03","0.022","0.8","0.007","25","19"
"20171009","동대문구","0.025","0.016","0.4","0.006","23","16"
"20171009","중랑구","0.03","0.015","0.5","0.008","23","16"
"20171009","종로","0.037","0.017","0.5","0.005","29","19"
"20171009","신촌로","0.045","0.016","0.9","0.007","32","18"
"20171009","공항대로","0.037","0.015","0.4","0.006","42","27"
"20171009","정릉로","0.038","0.013","0.6","0.007","34","24"
"20171009","화랑로","0.034","0.009","0.6","0.004","32","17"
"20171008","서초구","0.021","0.023","0.5","0.006","18","12"
"20171008","강북구","0.017","0.031","0.3","0.003","12","9"
"20171008","동작대로","0.045","0.014","0.6","0.004","21","14"
"20171008","천호대로","0.032","0.016","0.5","0.004","32","15"
"20171008","도봉구","0.02","0.025","0.4","0.005","16","12"
"20171008","한강대로","0.037","0.017","0.5","0.005","28","14"
"20171008","노원구","0.023","0.025","0.4","0.003","20","13"
"20171008","마포구","0.023","0.028","0.5","0.004","17","15"
"20171008","정릉로","0.028","0.016","0.6","0.006","24","17"
"20171008","관악구","0.019","0.022","0.4","0.006","20","13"
"20171008","종로","0.03","0.02","0.4","0.004","22","14"
"20171008","중랑구","0.019","0.023","0.4","0.006","15","11"
"20171008","성동구","0.021","0.017","0.5","0.004","22","13"
"20171008","동대문구","0.023","0.016","0.4","0.005","19","13"
"20171008","강남대로","0.048","0.013","0.6","0.004","22","13"
"20171008","용산구","0.023","0.021","0.3","0.003","16","14"
"20171008","강서구","0.027","0.022","0.4","0.006","19","14"
"20171008","양천구","0.028","0.023","0.4","0.004","20","16"
"20171008","중구","0.029","0.024","0.5","0.004","19","13"
"20171008","서대문구","0.023","0.027","0.5","0.005","18","14"
"20171008","신촌로","0.047","0.013","0.9","0.004","29","17"
"20171008","성북구","0.025","0.02","0.5","0.003","20","14"
"20171008","은평구","0.024","0.031","0.7","0.006","15","13"
"20171008","강변북로","0.04","0.012","0.5","0.004","23","12"
"20171008","강남구","0.022","0.02","0.4","0.005","16","12"
"20171008","화랑로","0.03","0.015","0.5","0.003","22","12"
"20171008","영등포구","0.025","0.03","0.7","0.005","25","13"
"20171008","동작구","0.021","0.027","0.4","0.004","21","13"
"20171008","광진구","0.029","0.032","0.7","0.005","15","12"
"20171008","도산대로","0.031","0.021","1","0.005","25","10"
"20171008","공항대로","0.034","0.02","0.4","0.005","31","19"
"20171008","금천구","0.025","0.027","0.4","0.004","15","13"
"20171008","구로구","0.019","0.02","0.5","0.007","21","15"
"20171008","청계천로","0.031","0.02","0.4","0.005","23","14"
"20171008","송파구","0.02","0.023","0.5","0.004","18","12"
"20171008","강동구","0.025","0.021","0.5","0.004","21","12"
"20171008","홍릉로","0.035","0.018","0.4","0.005","24","19"
"20171008","종로구","0.027","0.025","0.5","0.004","17","13"
"20171008","영등포로","0.046","0.013","0.4","0.006","30","14"
"20171007","정릉로","0.021","0.018","0.5","0.005","13","9"
"20171007","은평구","0.02","0.025","0.6","0.005","8","6"
"20171007","관악구","0.018","0.018","0.4","0.005","13","7"
"20171007","천호대로","0.028","0.013","0.4","0.003","21","9"
"20171007","종로구","0.02","0.025","0.4","0.002","8","5"
"20171007","홍릉로","0.029","0.016","0.3","0.004","14","7"
"20171007","중구","0.026","0.022","0.4","0.002","9","5"
"20171007","노원구","0.017","0.022","0.3","0.003","10","5"
"20171007","서대문구","0.02","0.025","0.4","0.004","9","7"
"20171007","도봉구","0.015","0.023","0.4","0.004","6","5"
"20171007","강동구","0.017","0.02","0.4","0.003","9","5"
"20171007","화랑로","0.028","0.011","0.5","0.003","11","6"
"20171007","구로구","0.018","0.017","0.4","0.005","10","7"
"20171007","신촌로","0.035","0.017","0.7","0.004","15","9"
"20171007","금천구","0.025","0.02","0.4","0.002","8","6"
"20171007","성북구","0.021","0.018","0.4","0.002","9","6"
"20171007","동작구","0.022","0.021","0.3","0.002","11","5"
"20171007","강변북로","0.035","0.011","0.4","0.003","13","6"
"20171007","영등포로","0.034","0.015","0.3","0.005","16","8"
"20171007","송파구","0.015","0.021","0.3","0.004","9","5"
"20171007","공항대로","0.029","0.018","0.3","0.004","20","9"
"20171007","성동구","0.017","0.016","0.4","0.003","12","6"
"20171007","강남구","0.02","0.018","0.3","0.004","7","5"
"20171007","도산대로","0.03","0.018","1","0.004","15","6"
"20171007","동작대로","0.043","0.012","0.6","0.003","14","8"
"20171007","청계천로","0.027","0.017","0.4","0.004","13","6"
