구분	행정구역면적(㎡)	합계	공원율(%)
합계	605,196,566	168,843,299	27.9
종로구	23,912,883	11,555,792	48.32
중구	9,960,930	3,131,968	31.44
용산구	21,866,844	1,795,641	8.21
성동구	16,860,100	3,102,064	18.4
광진구	17,063,230	3,363,048	19.71
동대문구	14,215,197	1,275,850	8.98
중랑구	18,495,756	5,206,342	28.15
성북구	24,578,665	8,342,383	33.94
강북구	23,596,920	14,346,715	60.8
도봉구	20,667,909	10,075,345	48.75
노원구	35,437,921	14,337,687	40.46
은평구	29,704,588	13,997,925	47.12
서대문구	17,608,732	5,136,075	29.17
마포구	23,843,621	4,439,901	18.62
양천구	17,406,820	2,909,845	16.72
강서구	41,436,730	4,329,258	10.45
구로구	20,118,709	3,327,670	16.54
금천구	13,019,304	2,206,213	16.95
영등포구	24,529,646	3,091,054	12.6
동작구	16,354,174	4,585,391	28.04
관악구	29,568,727	10,977,114	37.12
서초구	46,982,024	16,036,321	34.13
강남구	39,501,308	6,591,655	16.69
송파구	33,876,548	4,642,075	13.7
강동구	24,589,280	3,369,970	13.71
